text,category,severity
Water supply timing in Deoghar changed abruptly to 2 AM without prior public notice.,Water Management,MEDIUM
"Major highway bridge over river has developed structural cracks, concrete chunks falling into river near Jamtara.",Urban Infrastructure,CRITICAL
Ticket vending machine at bus terminal out of order in Lohardaga.,Transportation,LOW
"Severe low voltage of 110V damaging all domestic refrigerators, water pumps, and fans in Jamshedpur.",Energy,HIGH
"Commercial electricity meter running abnormally fast, inflated bill of Rs 50,000 sent to small shop in Ranchi.",Energy,MEDIUM
Subsidized fertilizer (Urea and DAP) completely black-marketed and unavailable at government cooperative in Deoghar.,Agriculture,HIGH
"Massive landslide and retaining wall collapse blocked state highway Industrial Area Road, trapping vehicles under debris.",Urban Infrastructure,CRITICAL
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Deoghar.",Transportation,CRITICAL
"Agricultural power transformer burned out, tube wells non-functional during peak irrigation in Simdega.",Agriculture,HIGH
Bio-medical hazardous waste including infected needles and bandages dumped in open field behind hospital Chaibasa.,Healthcare,HIGH
Primary school and anganwadi center in Chaibasa has non-functional water taps for 3 days.,Water Management,HIGH
Market vegetable vendors dumping rotten produce directly into open stormwater drains in Giridih.,Sanitation,MEDIUM
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Jamshedpur.,Public Safety,HIGH
"Middle school in Jamshedpur has no functional toilet for girl students, causing massive dropouts.",Education,HIGH
Market vegetable vendors dumping rotten produce directly into open stormwater drains in Koderma.,Sanitation,MEDIUM
Certified seeds provided at block development office had less than 20% germination rate in Ranchi.,Agriculture,MEDIUM
"Footpath paving blocks broken and dislodged, forcing school students to walk in traffic in Hazaribagh.",Urban Infrastructure,MEDIUM
Commercial shopping complex fire exits permanently chained shut and fire extinguisher cylinders expired in Bokaro.,Public Safety,HIGH
"Underground sewage trunk line choked, raw sewage water backflowing into hundreds of houses in Saraikela.",Sanitation,CRITICAL
"Huge garbage dump on street corner in Hazaribagh not cleared for 4 weeks, decomposing and blocking traffic.",Sanitation,HIGH
"Hailstorm and gale winds flattened standing crops across village Bokaro, farmers facing total bankruptcy.",Agriculture,CRITICAL
"Mid-day meal served to schoolchildren contained dead lizard and worms, 20 pupils hospitalized in Ramgarh.",Education,CRITICAL
Deforestation and unmonitored hill cutting leading to soil erosion onto roads during monsoons in Dhanbad.,Environment,MEDIUM
Pack of aggressive rabid stray dogs attacked and mauled multiple senior citizens and children in Bokaro.,Public Safety,HIGH
Organized cyber fraud gang duping illiterate rural elders of their pension funds under fake scheme in Ramgarh.,Public Safety,MEDIUM
"School boundary wall collapsed near railway line, exposing small children to high-speed trains in Jamshedpur.",Education,CRITICAL
"Cold storage plant cooling gas leaked, ruining entire stored potato and tomato harvest in Chatra.",Agriculture,CRITICAL
Overloaded passenger boat capsized risk due to cracked hull at river crossing in Lohardaga.,Transportation,CRITICAL
"Main municipal water pipeline exploded on Airport Road, flooding residential homes and cutting supply to 800 families.",Water Management,CRITICAL
Commercial shopping complex fire exits permanently chained shut and fire extinguisher cylinders expired in Jamtara.,Public Safety,HIGH
Slum settlement in Lohardaga experiencing severe hepatitis outbreak due to open sewage pools.,Sanitation,CRITICAL
State transport bus operating with completely worn bald tires and failing hydraulic brakes on hill route near Giridih.,Transportation,CRITICAL
"All streetlights on main ring road Ring Road non-functional for past 5 days, high accident danger.",Urban Infrastructure,HIGH
"Community public RO purification plant in Pakur broken down for 14 weeks, no technician attending.",Water Management,HIGH
"All streetlights on main ring road Bypass Highway non-functional for past 3 days, high accident danger.",Urban Infrastructure,HIGH
"Cold storage plant cooling gas leaked, ruining entire stored potato and tomato harvest in Hazaribagh.",Agriculture,CRITICAL
Drip irrigation government subsidy disbursement delayed for over 8 months in Gumla.,Agriculture,MEDIUM
Loud music played after 10 PM during local marriage celebrations in sector 6 of Deoghar.,Public Safety,LOW
Drip irrigation government subsidy disbursement delayed for over 8 months in Dumka.,Agriculture,MEDIUM
Illegal booster pumps installed by several residents in Chaibasa causing zero water pressure in neighboring homes.,Water Management,MEDIUM
Old multi-story commercial market balcony collapsed onto busy pedestrian footpath in Chatra.,Urban Infrastructure,CRITICAL
Rainwater pooling at street corner due to faulty road gradient on GT Road in Godda.,Urban Infrastructure,MEDIUM
Frequent sudden voltage spikes burning electronic LED appliances in colony Ranchi.,Energy,MEDIUM
"Dead cattle carcass lying rotting on roadside of College Road for 3 days, causing unbearable stench.",Sanitation,HIGH
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Gumla.,Education,CRITICAL
Free textbooks and uniforms under government educational scheme not distributed even 4 months after session start in West Singhbhum.,Education,MEDIUM
Unauthorized commercial advertising banners blocking driver visibility at road turning in Ramgarh.,Public Safety,LOW
Old transport truck emitting black smoke exhaust while idling at traffic stop in Saraikela.,Environment,LOW
"No tap water supply in Saraikela for past 21 days, residents forced to purchase private tankers at huge rates.",Water Management,HIGH
Arsenic and fluoride contamination in handpumps causing skeletal deformities in rural Bokaro.,Water Management,CRITICAL
Pavement curbs need repainting in reflective yellow paint along Hospital Road.,Urban Infrastructure,LOW
Massive locust attack destroying standing wheat and mustard crops across 500 hectares in Simdega.,Agriculture,CRITICAL
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Khunti.",Environment,HIGH
Mosquito breeding epidemic in Godda due to stagnant black sewage water in uncleaned open drains.,Sanitation,HIGH
"Open deep stone quarry pit filled with 40 feet of stagnant water without fencing, child drowned yesterday in Dumka.",Public Safety,CRITICAL
Dense poisonous smoke from open garbage burning at municipal dumping ground suffocating Saraikela.,Environment,HIGH
"Major highway bridge over river has developed structural cracks, concrete chunks falling into river near Pakur.",Urban Infrastructure,CRITICAL
Stretcher and wheelchair wheels broken at entrance of government clinic in Garhwa.,Healthcare,MEDIUM
Minor paint flaking off classroom exterior walls in school at West Singhbhum.,Education,LOW
Old transport truck emitting black smoke exhaust while idling at traffic stop in Giridih.,Environment,LOW
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Saraikela.",Environment,HIGH
"Road excavated for sewage pipeline 4 months ago left unpaved, mud and dust causing daily skidding in Jamtara.",Urban Infrastructure,HIGH
Notice board showing daily mandi crop prices missing at grain market Saraikela.,Agriculture,LOW
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Chaibasa.,Environment,MEDIUM
Overgrown wild weeds and Congress grass causing seasonal pollen allergies in colony park Gumla.,Environment,LOW
Auto rickshaw stand encroaching on pedestrian crossing near market Khunti.,Transportation,LOW
Water bill received has higher meter reading than actual consumption in Hazaribagh.,Water Management,LOW
"Huge garbage dump on street corner in Garhwa not cleared for 21 weeks, decomposing and blocking traffic.",Sanitation,HIGH
Labor room in maternal care clinic Palamu has no running water or sterile equipment.,Healthcare,HIGH
Continuous power blackout in civil hospital during emergency surgeries in Lohardaga.,Energy,CRITICAL
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Saraikela.,Agriculture,CRITICAL
"Electricity bill received after the due date, incurring unjustified penalty charge in Ranchi.",Energy,LOW
Public park green lawn dried up due to lack of municipal gardening staff in Ranchi.,Environment,LOW
"Highway flyover expansion joint widened by 6 inches, vibrating violently under vehicular movement in Sahebganj.",Urban Infrastructure,CRITICAL
"Unmanned railway level crossing with broken boom barrier, blind collision hazard on College Road.",Transportation,CRITICAL
"Electric pole broken at base by storm, leaning directly over tin roof of occupied house in Lohardaga.",Energy,CRITICAL
Rainwater pooling at street corner due to faulty road gradient on GT Road in Dhanbad.,Urban Infrastructure,MEDIUM
Construction and demolition debris dumped openly on dry riverbed near Main Road.,Environment,MEDIUM
Request for additional story books and encyclopedia in village school library in West Singhbhum.,Education,LOW
Organized cyber fraud gang duping illiterate rural elders of their pension funds under fake scheme in Saraikela.,Public Safety,MEDIUM
Frequent sudden voltage spikes burning electronic LED appliances in colony Dhanbad.,Energy,MEDIUM
Public dustbins in market area Hazaribagh broken and overflowing with plastic bags.,Sanitation,MEDIUM
"Dead cattle carcass lying rotting on roadside of Airport Road for 3 days, causing unbearable stench.",Sanitation,HIGH
Divider break on fast expressway in Koderma causing tractors and two-wheelers to drive on wrong side.,Urban Infrastructure,HIGH
"Electric pole broken at base by storm, leaning directly over tin roof of occupied house in Lohardaga.",Energy,CRITICAL
Lineman demanding bribe to replace blown transformer fuse in village Chaibasa.,Energy,HIGH
Unattended human sewage overflowing on main road outside pediatric hospital in Saraikela.,Sanitation,CRITICAL
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Godda.",Environment,HIGH
Scheduled municipal water tanker delayed by more than 24 hours in ward 14 of Saraikela.,Water Management,MEDIUM
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Simdega.,Public Safety,HIGH
"Agricultural power transformer burned out, tube wells non-functional during peak irrigation in Dumka.",Agriculture,HIGH
Electric wires tangled in tree branches causing sparks in wind near Station Road in Saraikela.,Energy,MEDIUM
High voltage 11KV electrical wire snapped and lying alive on wet school pathway in Jamshedpur.,Energy,CRITICAL
Illegal booster pumps installed by several residents in West Singhbhum causing zero water pressure in neighboring homes.,Water Management,MEDIUM
"Stray cattle wandering on state highway Station Road, causing frequent motorcycle skids and collisions.",Public Safety,MEDIUM
Anti-rabies and anti-snake venom emergency injections completely out of stock in district hospital Deoghar.,Healthcare,CRITICAL
"Electric pole broken at base by storm, leaning directly over tin roof of occupied house in Pakur.",Energy,CRITICAL
Municipal sanitation sweepers have not visited colony Palamu for past 2 days.,Sanitation,MEDIUM
Sticker bills and posters defacing newly painted public sanitation facility in Hazaribagh.,Sanitation,LOW
Water bill received has higher meter reading than actual consumption in Chaibasa.,Water Management,LOW
Leakage in water meter junction wasting thousands of liters daily outside house in Saraikela.,Water Management,MEDIUM
Illegal commercial timber logging and cutting of ancient Sal trees in protected forest zone of Jamtara.,Environment,HIGH
Water storage reservoir wall cracked and threatening to submerge adjacent village Simdega.,Water Management,CRITICAL
Street signboards fallen down and lying in ditch near entrance of Sahebganj.,Urban Infrastructure,MEDIUM
Request for shifting electricity pole standing slightly inward on private driveway in Simdega.,Energy,LOW
"Submersible pump at community borewell completely burned out, leaving entire village Pakur without drinking water.",Water Management,HIGH
Street name board in ward 15 of Deoghar is rusted and illegible.,Urban Infrastructure,LOW
Illegal commercial timber logging and cutting of ancient Sal trees in protected forest zone of Giridih.,Environment,HIGH
"Commercial private trucks parking illegally on both lanes of narrow highway Industrial Area Road, causing daily fatal crashes.",Transportation,HIGH
Unscheduled power cuts lasting 12 to 16 hours daily in Gumla during peak summer heatwave.,Energy,HIGH
Transformer overloaded and tripping every 20 minutes across 400 households in ward 13 of Chaibasa.,Energy,HIGH
Streetlight junction box sparking loudly every evening during dusk in Garhwa.,Energy,MEDIUM
Transformer overloaded and tripping every 20 minutes across 400 households in ward 2 of Jamshedpur.,Energy,HIGH
Request for seating benches in outdoor waiting shed of health center Bokaro.,Healthcare,LOW
Lineman demanding bribe to replace blown transformer fuse in village Chaibasa.,Energy,HIGH
Construction and demolition debris dumped openly on dry riverbed near Hospital Road.,Environment,MEDIUM
Street name board in ward 6 of Deoghar is rusted and illegible.,Urban Infrastructure,LOW
Loud music played after 10 PM during local marriage celebrations in sector 6 of Jamtara.,Public Safety,LOW
Water smells strongly like foul drainage water and looks muddy black from municipal connection in Dumka.,Water Management,HIGH
Transformer overloaded and tripping every 20 minutes across 400 households in ward 16 of Lohardaga.,Energy,HIGH
Drip irrigation government subsidy disbursement delayed for over 8 months in Dhanbad.,Agriculture,MEDIUM
"Desks and benches broken, students forced to sit on damp concrete floor in school at Jamshedpur.",Education,MEDIUM
Requesting installation of an additional community water tap near the new bus stop in Saraikela.,Water Management,LOW
"Government ambulance dial 108 helpline not answering, pregnant patient died en route in Deoghar.",Healthcare,CRITICAL
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near Saraikela.,Environment,CRITICAL
"Underground sewage trunk line choked, raw sewage water backflowing into hundreds of houses in Garhwa.",Sanitation,CRITICAL
Dangerous blind hairpin curve on ghat road Saraikela has broken safety crash barriers and zero reflectors.,Transportation,HIGH
Abandoned scrap car left parked on colony street corner for 1 year in Pakur.,Public Safety,LOW
Government high school in Jamtara has no math or science teacher for the entire academic year.,Education,HIGH
"Complete groundwater depletion in Chaibasa, borewells pumping sand, emergency relief tankers urgently needed.",Water Management,CRITICAL
"Government bus service to rural block Deoghar canceled without notice, college students stranded.",Transportation,HIGH
Residential smart meter installation application pending for 3 months in Saraikela.,Energy,LOW
"Dialysis unit machines broken down, chronic kidney patients turned away without treatment in Dhanbad.",Healthcare,HIGH
"Main storm drain culvert collapsed under truck weight, half the road completely severed in Godda.",Urban Infrastructure,HIGH
"Footpath paving blocks broken and dislodged, forcing school students to walk in traffic in Jamtara.",Urban Infrastructure,MEDIUM
Request for placing separate green and blue waste segregation bins in park at Sahebganj.,Sanitation,LOW
Herd of wild boars and elephants destroying standing sugarcane crops nightly in farm belt Deoghar.,Agriculture,HIGH
Minor cracks appearing on walking promenade footpath in public park at Garhwa.,Urban Infrastructure,LOW
"Massive landslide and retaining wall collapse blocked state highway Airport Road, trapping vehicles under debris.",Urban Infrastructure,CRITICAL
"Illegal sand mining mafia using heavy dredging excavators, destroying river ecosystem and groundwater table at Pakur.",Environment,CRITICAL
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near Lohardaga.,Environment,CRITICAL
"Electricity bill received after the due date, incurring unjustified penalty charge in Godda.",Energy,LOW
Septic tank leaked directly into municipal drinking water pipeline trench in Jamshedpur.,Sanitation,CRITICAL
Request for zebra crossing painting outside primary school gate in Palamu.,Urban Infrastructure,LOW
"Agricultural power transformer burned out, tube wells non-functional during peak irrigation in Hazaribagh.",Agriculture,HIGH
"Doctor at dispensary arriving 3 hours late regularly, causing senior citizens to wait in sun in Palamu.",Healthcare,MEDIUM
Footbridge over railway tracks in Lohardaga has severely rusted corroded pillars shaking in wind.,Urban Infrastructure,HIGH
Notice board showing daily mandi crop prices missing at grain market Hazaribagh.,Agriculture,LOW
ICU backup oxygen cylinder supply failed during power cut in sub-divisional hospital Hazaribagh.,Healthcare,CRITICAL
Crater-sized deep pothole on fast lane of Station Road caused three consecutive car rollover accidents last night.,Urban Infrastructure,CRITICAL
Massive forest fire spreading uncontrolled toward tribal settlements and wildlife habitat in Khunti.,Environment,CRITICAL
Primary school and anganwadi center in Dumka has non-functional water taps for 3 days.,Water Management,HIGH
Illegal crude firecracker and explosives manufacturing operating in densely packed residential colony in Simdega.,Public Safety,CRITICAL
"Highway flyover expansion joint widened by 6 inches, vibrating violently under vehicular movement in Sahebganj.",Urban Infrastructure,CRITICAL
Request for additional bus stop shelter along newly developed residential sector in Dhanbad.,Transportation,LOW
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Jamshedpur.,Agriculture,CRITICAL
Pedestrian subway flooded with 5 feet of stormwater and live electrical wires submerged in water.,Urban Infrastructure,CRITICAL
Old multi-story commercial market balcony collapsed onto busy pedestrian footpath in Simdega.,Urban Infrastructure,CRITICAL
"Commercial private trucks parking illegally on both lanes of narrow highway Bypass Highway, causing daily fatal crashes.",Transportation,HIGH
Residential smart meter installation application pending for 3 months in Saraikela.,Energy,LOW
Severe shortage of water tankers in drought-prone block Pakur despite multiple registered complaints.,Water Management,HIGH
Crater-sized deep pothole on fast lane of Hospital Road caused three consecutive car rollover accidents last night.,Urban Infrastructure,CRITICAL
Old multi-story commercial market balcony collapsed onto busy pedestrian footpath in Godda.,Urban Infrastructure,CRITICAL
"Stone crushing factories operating without water sprinklers, entire residential area enveloped in toxic silica dust in Hazaribagh.",Environment,HIGH
Street name board in ward 8 of Garhwa is rusted and illegible.,Urban Infrastructure,LOW
School computer lab equipment locked in boxes for 2 years without power connection in Giridih.,Education,MEDIUM
"Pedestrian subway has zero lighting, non-functional CCTV, and zero police patrols, making it dangerous after dark in Giridih.",Public Safety,HIGH
Damaged sluice valve cutting drinking water supply to entire commercial and residential district in Garhwa.,Water Management,HIGH
"Solar street light battery backup discharged, light turning off by 10 PM in Jamshedpur.",Energy,LOW
Massive locust attack destroying standing wheat and mustard crops across 500 hectares in West Singhbhum.,Agriculture,CRITICAL
Free textbooks and uniforms under government educational scheme not distributed even 4 months after session start in West Singhbhum.,Education,MEDIUM
Street signboards fallen down and lying in ditch near entrance of Dhanbad.,Urban Infrastructure,MEDIUM
Display board showing doctor consultation timings missing outside health clinic Bokaro.,Healthcare,LOW
Illegal crude firecracker and explosives manufacturing operating in densely packed residential colony in Bokaro.,Public Safety,CRITICAL
"Main storm drain culvert collapsed under truck weight, half the road completely severed in Ramgarh.",Urban Infrastructure,HIGH
Request for seating benches in outdoor waiting shed of health center Chaibasa.,Healthcare,LOW
"Canal outlet siphon silted up, tail-end farmers receiving zero irrigation flow in West Singhbhum.",Agriculture,MEDIUM
Illegal booster pumps installed by several residents in Jamshedpur causing zero water pressure in neighboring homes.,Water Management,MEDIUM
Streetlight junction box sparking loudly every evening during dusk in Ranchi.,Energy,MEDIUM
Sticker bills and posters defacing newly painted public sanitation facility in Simdega.,Sanitation,LOW
Loud music played after 10 PM during local marriage celebrations in sector 29 of Saraikela.,Public Safety,LOW
"Submersible pump at community borewell completely burned out, leaving entire village Chatra without drinking water.",Water Management,HIGH
"Classroom roof leaking severely during monsoon rain, destroying desks and textbooks in Chatra.",Education,HIGH
"Acute dengue and viral encephalitis outbreak claiming lives of children in Saraikela, immediate medical team required.",Healthcare,CRITICAL
Pavement curbs need repainting in reflective yellow paint along Hospital Road.,Urban Infrastructure,LOW
Agricultural irrigation feeder canal dry for 30 weeks during critical sowing season in Garhwa.,Agriculture,HIGH
School playground in Jamshedpur taken over by unauthorized parked commercial vehicles.,Education,MEDIUM
Subsidized fertilizer (Urea and DAP) completely black-marketed and unavailable at government cooperative in Simdega.,Agriculture,HIGH
Drinking water supply poisoned due to pesticide tank leakage near local water pump house.,Water Management,CRITICAL
"Community public RO purification plant in Khunti broken down for 3 weeks, no technician attending.",Water Management,HIGH
Dilapidated four-story abandoned factory on verge of immediate structural collapse near crowded marketplace in Palamu.,Public Safety,CRITICAL
"Underground sewage trunk line choked, raw sewage water backflowing into hundreds of houses in Chaibasa.",Sanitation,CRITICAL
"School boundary wall collapsed near railway line, exposing small children to high-speed trains in Jamtara.",Education,CRITICAL
"Dead cattle carcass lying rotting on roadside of College Road for 3 days, causing unbearable stench.",Sanitation,HIGH
Request for additional bus stop shelter along newly developed residential sector in Deoghar.,Transportation,LOW
ICU backup oxygen cylinder supply failed during power cut in sub-divisional hospital Pakur.,Healthcare,CRITICAL
"Highway flyover expansion joint widened by 6 inches, vibrating violently under vehicular movement in Ramgarh.",Urban Infrastructure,CRITICAL
Ticket vending machine at bus terminal out of order in Khunti.,Transportation,LOW
Agricultural extension officer not available on scheduled field visit day in Hazaribagh.,Agriculture,LOW
Request for zebra crossing painting outside primary school gate in Pakur.,Urban Infrastructure,LOW
"Dialysis unit machines broken down, chronic kidney patients turned away without treatment in Hazaribagh.",Healthcare,HIGH
"Acute dengue and viral encephalitis outbreak claiming lives of children in Chaibasa, immediate medical team required.",Healthcare,CRITICAL
Overhead directional signage metal frame detached and swinging dangerously over traffic on Hospital Road.,Urban Infrastructure,HIGH
Potholes at bus terminal depot damaging public vehicle axles and stalling departures in Ramgarh.,Transportation,MEDIUM
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Bokaro.,Education,CRITICAL
Pavement curbs need repainting in reflective yellow paint along College Road.,Urban Infrastructure,LOW
Minor paint flaking off classroom exterior walls in school at Simdega.,Education,LOW
"Doctor at dispensary arriving 3 hours late regularly, causing senior citizens to wait in sun in Chaibasa.",Healthcare,MEDIUM
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Dhanbad.,Agriculture,CRITICAL
Decorative street light poles in park Pakur have missing decorative glass covers.,Urban Infrastructure,LOW
Shared auto drivers driving rashly on wrong side of highway and charging 3x metered fare in West Singhbhum.,Transportation,MEDIUM
Subsidized fertilizer (Urea and DAP) completely black-marketed and unavailable at government cooperative in Hazaribagh.,Agriculture,HIGH
Request for placing separate green and blue waste segregation bins in park at Dumka.,Sanitation,LOW
"Doctor at dispensary arriving 3 hours late regularly, causing senior citizens to wait in sun in Chaibasa.",Healthcare,MEDIUM
"Underground electrical cable burnt, whole commercial market in total darkness for 2 days in Saraikela.",Energy,HIGH
Notice board showing daily mandi crop prices missing at grain market Chaibasa.,Agriculture,LOW
Unattended human sewage overflowing on main road outside pediatric hospital in Jamtara.,Sanitation,CRITICAL
Overhead directional signage metal frame detached and swinging dangerously over traffic on Ring Road.,Urban Infrastructure,HIGH
Extreme overcrowding in city buses with passengers hanging precariously from footboards and window grills in Chaibasa.,Transportation,HIGH
"Canal outlet siphon silted up, tail-end farmers receiving zero irrigation flow in Jamshedpur.",Agriculture,MEDIUM
Minor paint flaking off classroom exterior walls in school at Jamshedpur.,Education,LOW
Sticker bills and posters defacing newly painted public sanitation facility in Palamu.,Sanitation,LOW
CCTV cameras installed at main market intersection non-functional for past 6 months in Chatra.,Public Safety,MEDIUM
Clean drinking water dispenser not working in hospital OPD waiting lounge in Ramgarh.,Healthcare,LOW
Massive forest fire spreading uncontrolled toward tribal settlements and wildlife habitat in Gumla.,Environment,CRITICAL
"Mid-day meal served to schoolchildren contained dead lizard and worms, 20 pupils hospitalized in Saraikela.",Education,CRITICAL
Residential smart meter installation application pending for 3 months in Bokaro.,Energy,LOW
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Simdega.,Agriculture,CRITICAL
"Night bus transport service discontinued abruptly, leaving female hospital workers unsafe in Jamtara.",Transportation,HIGH
Bio-medical hazardous waste including infected needles and bandages dumped in open field behind hospital Saraikela.,Healthcare,HIGH
"Toxic chemical industrial waste dumped near community playground, emitting noxious fumes in Simdega.",Sanitation,CRITICAL
Decorative street light poles in park Deoghar have missing decorative glass covers.,Urban Infrastructure,LOW
Arsenic and fluoride contamination in handpumps causing skeletal deformities in rural Simdega.,Water Management,CRITICAL
"Solar street light battery backup discharged, light turning off by 10 PM in Dhanbad.",Energy,LOW
State transport bus operating with completely worn bald tires and failing hydraulic brakes on hill route near Chatra.,Transportation,CRITICAL
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Palamu.",Agriculture,CRITICAL
"Underground electrical cable burnt, whole commercial market in total darkness for 3 days in West Singhbhum.",Energy,HIGH
Agricultural irrigation feeder canal dry for 3 weeks during critical sowing season in Pakur.,Agriculture,HIGH
Request for additional bus stop shelter along newly developed residential sector in Dhanbad.,Transportation,LOW
"Dangerous potholes covering entire 5 km stretch of Market Square, making emergency ambulance transit impossible.",Urban Infrastructure,HIGH
Shared auto drivers driving rashly on wrong side of highway and charging 3x metered fare in Khunti.,Transportation,MEDIUM
"Underground electrical cable burnt, whole commercial market in total darkness for 2 days in Jamtara.",Energy,HIGH
Ticket vending machine at bus terminal out of order in Pakur.,Transportation,LOW
School computer lab equipment locked in boxes for 2 years without power connection in Dhanbad.,Education,MEDIUM
Water supply timing in Dumka changed abruptly to 2 AM without prior public notice.,Water Management,MEDIUM
"Open deep stone quarry pit filled with 40 feet of stagnant water without fencing, child drowned yesterday in Dhanbad.",Public Safety,CRITICAL
Municipal sanitation sweepers have not visited colony Godda for past 2 days.,Sanitation,MEDIUM
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Koderma.,Public Safety,HIGH
State transport buses regularly skipping designated village bus stops in Gumla.,Transportation,MEDIUM
Drinking water supply poisoned due to pesticide tank leakage near local water pump house.,Water Management,CRITICAL
Construction and demolition debris dumped openly on dry riverbed near Industrial Area Road.,Environment,MEDIUM
Illegal booster pumps installed by several residents in Ranchi causing zero water pressure in neighboring homes.,Water Management,MEDIUM
"Mid-day meal served to schoolchildren contained dead lizard and worms, 20 pupils hospitalized in Simdega.",Education,CRITICAL
Auto rickshaw stand encroaching on pedestrian crossing near market Sahebganj.,Transportation,LOW
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Koderma.",Agriculture,CRITICAL
Commercial slaughterhouse dumping animal entrails and blood directly into open municipal drain in West Singhbhum.,Sanitation,HIGH
Street vegetable market causing minor pedestrian bottleneck on evening sidewalks in Jamshedpur.,Public Safety,LOW
"Stone crushing factories operating without water sprinklers, entire residential area enveloped in toxic silica dust in Palamu.",Environment,HIGH
Bus timetable display screen broken at central bus stand in Pakur.,Transportation,LOW
Open electrical feeder pillar box with live bare busbars standing unlocked outside children's park in Simdega.,Energy,CRITICAL
Auto rickshaw stand encroaching on pedestrian crossing near market Lohardaga.,Transportation,LOW
"Main feeder water line ruptured by telecom JCB digging along GT Road, continuous massive water wastage.",Water Management,HIGH
Septic tank leaked directly into municipal drinking water pipeline trench in Garhwa.,Sanitation,CRITICAL
Emergency Police dial 112 / 100 helpline calls ringing unanswered during violent burglary distress in Deoghar.,Public Safety,CRITICAL
Loud music played after 10 PM during local marriage celebrations in sector 5 of Deoghar.,Public Safety,LOW
Deep construction trench left completely unbarricaded with zero warning hazard lamps on road in Ramgarh.,Public Safety,MEDIUM
Chemical chemical plant dumping toxic untreated red effluent directly into Subarnarekha river stream near Garhwa.,Environment,CRITICAL
Transformer overloaded and tripping every 20 minutes across 400 households in ward 24 of Ramgarh.,Energy,HIGH
Electric wires tangled in tree branches causing sparks in wind near Hospital Road in Lohardaga.,Energy,MEDIUM
"Acute dengue and viral encephalitis outbreak claiming lives of children in Saraikela, immediate medical team required.",Healthcare,CRITICAL
Crater-sized deep pothole on fast lane of Ring Road caused three consecutive car rollover accidents last night.,Urban Infrastructure,CRITICAL
"Complete groundwater depletion in Khunti, borewells pumping sand, emergency relief tankers urgently needed.",Water Management,CRITICAL
"Street dustbin missing lid, stray dogs scattering waste in Dumka.",Sanitation,LOW
Severe shortage of water tankers in drought-prone block Chaibasa despite multiple registered complaints.,Water Management,HIGH
Notice board showing daily mandi crop prices missing at grain market Jamshedpur.,Agriculture,LOW
"Pedestrian subway has zero lighting, non-functional CCTV, and zero police patrols, making it dangerous after dark in Koderma.",Public Safety,HIGH
Unattended human sewage overflowing on main road outside pediatric hospital in West Singhbhum.,Sanitation,CRITICAL
"Dialysis unit machines broken down, chronic kidney patients turned away without treatment in Sahebganj.",Healthcare,HIGH
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Chaibasa.,Education,CRITICAL
"Stray cattle wandering on state highway Industrial Area Road, causing frequent motorcycle skids and collisions.",Public Safety,MEDIUM
State transport bus operating with completely worn bald tires and failing hydraulic brakes on hill route near Deoghar.,Transportation,CRITICAL
Drinking water supply poisoned due to pesticide tank leakage near local water pump house.,Water Management,CRITICAL
"Night bus transport service discontinued abruptly, leaving female hospital workers unsafe in Jamtara.",Transportation,HIGH
Bus timetable display screen broken at central bus stand in Pakur.,Transportation,LOW
Request for shifting electricity pole standing slightly inward on private driveway in Koderma.,Energy,LOW
Public drinking fountain near park in Chaibasa has a slow leaky washer.,Water Management,LOW
Minor cracks appearing on walking promenade footpath in public park at Godda.,Urban Infrastructure,LOW
Anti-rabies and anti-snake venom emergency injections completely out of stock in district hospital Chaibasa.,Healthcare,CRITICAL
Septic tank leaked directly into municipal drinking water pipeline trench in Koderma.,Sanitation,CRITICAL
Arsenic and fluoride contamination in handpumps causing skeletal deformities in rural Pakur.,Water Management,CRITICAL
Frequent sudden voltage spikes burning electronic LED appliances in colony Giridih.,Energy,MEDIUM
Shared auto drivers driving rashly on wrong side of highway and charging 3x metered fare in Godda.,Transportation,MEDIUM
Rainwater pooling at street corner due to faulty road gradient on Main Road in Chatra.,Urban Infrastructure,MEDIUM
Dangerous blind hairpin curve on ghat road Jamshedpur has broken safety crash barriers and zero reflectors.,Transportation,HIGH
"Huge garbage dump on street corner in Hazaribagh not cleared for 21 weeks, decomposing and blocking traffic.",Sanitation,HIGH
